Filename,Author,Date
app/src/main/res/layout/activity_main.xml,Andy Barber,2016-07-01
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2015-09-16
app/src/main/res/layout/activity_main.xml,Matthew Rollings,2015-06-30
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2015-06-30
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2015-06-29
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2015-06-19
app/src/main/res/layout/item_root_check.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/layout/item_root_check.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/menu/menu_main.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/menu/menu_main.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/menu/menu_main.xml,Andy Barber,2016-07-01
app/src/main/res/menu/menu_main.xml,Scott Alexander-Bown,2015-06-29
app/src/main/res/menu/menu_main.xml,Scott Alexander-Bown,2015-06-19
app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/values/colors.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/values/colors.xml,Scott Alexander-Bown,2016-07-01
app/src/main/res/values/colors.xml,Andy Barber,2016-07-01
app/src/main/res/values/colors.xml,Scott Alexander-Bown,2015-09-16
app/src/main/res/values/dimens.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/values/dimens.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/values/dimens.xml,Andy Barber,2016-07-01
app/src/main/res/values/dimens.xml,Scott Alexander-Bown,2015-06-19
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/values/strings.xml,Matthew Rollings,2017-05-12
app/src/main/res/values/strings.xml,Frieder Bluemle,2017-05-11
app/src/main/res/values/strings.xml,Andy Barber,2016-07-01
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2015-06-29
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2015-06-26
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2015-06-19
